"TABLE 1.  Total Population, Household Population, Number of Households, and Average Household Size ",,,,,,,,,
"by Region, Province, and Highly Urbanized City: Philippines, 2020",,,,,,,,,
,,,,,,,,,
"Region, Province, and Highly Urbanized City",,Total Population,,Household Population,"Number 
of Households","Average 
Household Size ",,,
City of Bacolod 1,,"600,783",,"597,615","142,936",4.2,,,
,,,,,,,,,
Region VII (Central Visayas),,"8,081,988",,"8,046,285","1,966,588",4.1,,,
Bohol,,"1,394,329",,"1,390,524","322,022",4.3,,,
Cebu,,"3,325,385",,"3,309,850","799,486",4.1,,,
City of Cebu,,"964,169",,"958,626","238,317",4.0,,,
City of Lapu-Lapu (Opon),,"497,604",,"494,672","129,652",3.8,,,
City of Mandaue,,"364,116",,"361,051","103,345",3.5,,,
Negros Oriental 1,,"1,432,990",,"1,428,548","347,961",4.1,,,
Siquijor,,"103,395",,"103,014","25,805",4.0,,,
,,,,,,,,,
Region VIII (Eastern Visayas),,"4,547,150",,"4,531,512","1,082,106",4.2,,,
Biliran,,"179,312",,"178,715","43,053",4.2,,,
Eastern Samar,,"477,168",,"475,847","115,777",4.1,,,
Leyte,,"1,776,847",,"1,771,011","443,470",4.0,,,
City of Tacloban,,"251,881",,"249,415","57,251",4.4,,,
Northern Samar,,"639,186",,"636,995","139,885",4.6,,,
Samar (Western Samar),,"793,183",,"791,045","181,794",4.4,,,
Southern Leyte,,"429,573",,"428,484","100,876",4.2,,,
,,,,,,,,,
Region IX (Zamboanga Peninsula),,"3,875,576",,"3,862,588","895,899",4.3,,,
Zamboanga del Norte,,"1,047,455",,"1,046,017","247,971",4.2,,,
Zamboanga del Sur,,"1,050,668",,"1,048,402","239,258",4.4,,,
City of Zamboanga,,"977,234",,"969,391","227,352",4.3,,,
Zamboanga Sibugay,,"669,840",,"668,648","154,669",4.3,,,
City of Isabela,,"130,379",,"130,130","26,649",4.9,,,
,,,,,,,,,
Region X (Northern Mindanao),,"5,022,768",,"5,007,798","1,197,736",4.2,,,
Bukidnon,,"1,541,308",,"1,537,629","357,112",4.3,,,
Camiguin,,"92,808",,"92,696","22,281",4.2,,,
Lanao del Norte,,"722,902",,"721,716","161,458",4.5,,,
City of Iligan,,"363,115",,"362,182","87,239",4.2,,,
Misamis Occidental,,"617,333",,"614,951","149,188",4.1,,,
Misamis Oriental,,"956,900",,"954,953","230,233",4.1,,,
City of Cagayan de Oro,,"728,402",,"723,671","190,225",3.8,,,
,,,,,,,,,
Region XI (Davao Region),,"5,243,536",,"5,223,802","1,337,781",3.9,,,
Davao de Oro (Compostela Valley) 2,,"767,547",,"766,299","188,918",4.1,,,
Davao del Norte,,"1,125,057",,"1,115,167","271,655",4.1,,,
Davao del Sur,,"680,481",,"679,457","182,681",3.7,,,
City of Davao,,"1,776,949",,"1,770,988","476,278",3.7,,,
Davao Occidental,,"317,159",,"316,907","78,185",4.1,,,
Davao Oriental,,"576,343",,"574,984","140,064",4.1,,,
,,,,,,,,,
Region XII (SOCCSKSARGEN),,"4,360,974",,"4,351,773","1,065,453",4.1,,,
Cotabato (North Cotabato),,"1,275,185",,"1,273,594","308,443",4.1,,,
 (excluding 63 barangays now part of BARMM) 3,,,,,,,,,
Sarangani,,"558,946",,"558,069","133,865",4.2,,,
South Cotabato,,"975,476",,"973,146","244,987",4.0,,,
City of General Santos (Dadiangas),,"697,315",,"695,410","175,345",4.0,,,
Sultan Kudarat,,"854,052",,"851,554","202,813",4.2,,,
,,,,,,,,,
Region XIII (Caraga),,"2,804,788",,"2,795,340","661,773",4.2,,,
Agusan del Norte,,"387,503",,"386,211","91,016",4.2,,,
City of Butuan,,"372,910",,"370,910","89,408",4.1,,,
Agusan del Sur,,"739,367",,"737,991","173,962",4.2,,,
Dinagat Islands,,"128,117",,"127,963","29,391",4.4,,,
Surigao del Norte,,"534,636",,"531,753","127,445",4.2,,,
Surigao del Sur,,"642,255",,"640,512","150,551",4.3,,,
,,,,,,,,,
Bangsamoro Autonomous Region,,,,,,,,,
in Muslim Mindanao (BARMM) 3,,"4,944,800",,"4,938,539","832,908",5.9,,,
Basilan (excluding the City of Isabela),,"426,207",,"425,111","73,419",5.8,,,
Lanao del Sur,,"1,195,518",,"1,194,507","183,629",6.5,,,
Maguindanao (including the City of Cotabato) 3,,"1,667,258",,"1,666,353","287,284",5.8,,,
Sulu,,"1,000,108",,"998,675","166,140",6.0,,,
Tawi-Tawi,,"440,276",,"438,545","74,768",5.9,,,
Interim Province ,,"215,433",,"215,348","47,668",4.5,,,
(composed of 63 barangays from Cotabato) 3,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
a,"Population counts for the regions do not add up to the national total.  Includes 2,098 Filipinos in Philippine embassies, consulates",,,,,,,,
,and missions abroad.,,,,,,,,
,,,,,,,,,
1,"The Negros Island Region (NIR) was abolished through Executive Order No. 38  - “Revoking Executive Order No. 183 (s. 2015),",,,,,,,,
,"which Created a Negros Island Region and for Other Purposes”,  signed by President Rodrigo Roa Duterte on 07 August 2017. ",,,,,,,,
,"The abolition of the NIR reverted the provinces, cities, municipalities, and barangays of Negros Occidental and the City of Bacolod ",,,,,,,,
,to Region VI (Western Visayas) and Negros Oriental to Region VII (Central Visayas).,,,,,,,,
2,"Renamed province from Compostela Valley under Republic Act No. 11297, dated 17 April 2019; ratified on 07 December 2019",,,,,,,,
3,Per PSA Board Resolution No. 13 Series of 2021 - Approving and Adopting the Third Quarter 2021 Philippine Standard,,,,,,,,
,Geographic Code Updates to Include the Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) and Correct,,,,,,,,
,the Names of 37 Barangays.,,,,,,,,
,,,,,,,,,
Source:,,,,,,,,,
"Philippine Statistics Authority, 2020 Census of Population and Housing",,,,,,,,,
,,,,,,,,,
