Projected Population by Age Group and by Sex: 2010 to 2020 Medium Assumption,,,,,,,,,,,
,,,,,,,,,,,
Age/Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
30-34,"3,454,700","3,505,200","3,555,300","3,604,800","3,653,800","3,702,300","3,793,900","3,886,300","3,979,700","4,074,000","4,169,200"
35-39,"3,067,200","3,131,500","3,196,100","3,260,900","3,326,000","3,391,300","3,442,200","3,492,800","3,543,200","3,593,400","3,643,300"
40-44,"2,787,700","2,830,200","2,872,400","2,914,200","2,955,800","2,997,000","3,061,600","3,126,800","3,192,300","3,258,300","3,324,800"
45-49,"2,375,500","2,439,500","2,504,300","2,569,800","2,636,000","2,702,900","2,746,100","2,789,300","2,832,400","2,875,400","2,918,300"
50-54,"1,960,300","2,020,800","2,082,200","2,144,400","2,207,400","2,271,400","2,335,300","2,400,000","2,465,500","2,531,900","2,599,000"
55-59,"1,480,600","1,547,900","1,616,500","1,686,600","1,758,000","1,830,900","1,890,400","1,950,800","2,012,100","2,074,300","2,137,400"
60-64,"1,067,600","1,119,000","1,171,500","1,225,200","1,279,900","1,335,800","1,399,600","1,464,600","1,531,000","1,598,700","1,667,800"
,,,,,,,,,,,
 Continued ,,,,,,,,,,,
TABLE 1.9--Concluded,,,,,,,,,,,
,,,,,,,,,,,
Age/Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,
65-69,"682,400","726,100","770,900","816,800","863,900","912,000","958,800","1,006,600","1,055,400","1,105,300","1,156,100"
70-74,"493,700","502,700","511,700","520,700","529,600","538,500","575,500","613,400","652,300","692,000","732,600"
75-79,"287,000","299,000","311,300","323,700","336,500","349,400","357,300","365,200","373,200","381,300","389,400"
80 and over,"237,900","245,600","253,400","261,300","269,400","277,500","289,800","302,300","315,000","328,000","341,300"
,,,,,,,,,,,
  Female,,,,,,,,,,,
,,,,,,,,,,,
0-4,"5,262,600","5,314,500","5,364,600","5,413,200","5,460,100","5,505,300","5,524,500","5,541,200","5,555,500","5,567,400","5,576,900"
05-Sep,"5,005,400","5,051,300","5,095,400","5,137,800","5,178,600","5,217,700","5,269,300","5,319,600","5,368,700","5,416,600","5,463,300"
Oct-14,"4,958,600","4,967,500","4,973,400","4,976,400","4,976,400","4,973,400","5,018,700","5,062,700","5,105,400","5,146,900","5,187,000"
15-19,"4,789,300","4,820,500","4,849,700","4,876,800","4,901,800","4,924,800","4,932,800","4,938,300","4,941,400","4,942,000","4,940,100"
20-24,"4,165,100","4,277,500","4,391,100","4,506,000","4,622,100","4,739,400","4,769,600","4,798,300","4,825,200","4,850,500","4,874,200"
25-29,"3,689,300","3,772,300","3,855,700","3,939,700","4,024,200","4,109,200","4,221,000","4,334,200","4,448,800","4,564,700","4,682,000"
30-34,"3,340,100","3,400,200","3,460,200","3,520,100","3,579,900","3,639,700","3,722,400","3,805,800","3,889,900","3,974,600","4,060,000"
35-39,"2,966,200","3,031,100","3,096,300","3,161,900","3,227,800","3,294,000","3,354,000","3,414,200","3,474,400","3,534,800","3,595,300"
40-44,"2,701,700","2,745,700","2,789,400","2,833,000","2,876,300","2,919,400","2,984,400","3,049,800","3,115,700","3,182,100","3,249,000"
45-49,"2,320,300","2,384,500","2,449,300","2,514,900","2,581,200","2,648,300","2,692,500","2,736,700","2,780,800","2,824,900","2,869,000"
50-54,"1,947,200","2,007,700","2,069,200","2,131,400","2,194,600","2,258,600","2,322,600","2,387,400","2,453,000","2,519,500","2,586,800"
55-59,"1,516,200","1,584,500","1,654,300","1,725,500","1,798,200","1,872,200","1,932,300","1,993,300","2,055,200","2,118,000","2,181,800"
60-64,"1,168,100","1,218,400","1,269,700","1,322,000","1,375,300","1,429,700","1,496,400","1,564,400","1,633,900","1,704,700","1,776,800"
65-69,"820,000","867,000","915,200","964,500","1,014,900","1,066,400","1,114,400","1,163,400","1,213,400","1,264,300","1,316,200"
70-74,"652,500","664,200","675,800","687,500","699,100","710,700","753,600","797,400","842,300","888,200","935,000"
75-79,"422,400","441,300","460,600","480,200","500,300","520,800","531,900","543,100","554,400","565,800","577,200"
80 and over,"429,900","443,200","456,800","470,500","484,400","498,500","521,100","544,200","567,800","591,900","616,400"
,,,,,,,,,,,
,,,,,,,,,,,
"Source: Philippine Statistics Authority, 2010 Census-based Population Projections in collaboration with the Inter-Agency Working Group on Population Projections",,,,,,,,,,,
 ,,,,,,,,,,,
